doc_id,title_text,tagline,post_tag,post_date,topic,topic_label,umap_sem_x,umap_sem_y,umap_tem_x,umap_tem_y
17,Fluidos trans: arte y performance queer,,Memoria trans,2012-10-02 16:59:55,24,24_arte_artes_art,6.155689,3.6728697,12.347516,-2.4511094
18,Jóvenes de San Judas: el México desesperado,,,2012-10-10 14:04:09,1,1_feminismo_feminista_patriarcado,9.323879,3.813911,8.1443405,-2.3196256
19,Sufrir por amor,Sado gay,,2012-10-16 11:55:37,22,22_música_musical_músico,6.321427,3.9711974,14.807451,-4.088544
20,Estalló el verano,,,2012-11-09 13:57:50,10,10_boliviano_bolivia_político,8.218753,4.3766584,9.264763,4.345005
21,Histórico: se votó en Clarín,,,2012-11-16 14:13:53,15,15_sindicalismo_reforma_político,11.89327,6.1733804,6.4115553,1.5320992
22,Más allá del padre,Facundo Moyano,,2012-11-22 11:02:28,15,15_sindicalismo_reforma_político,10.945362,4.704048,6.377069,1.5045172
23,"Ludmer, una máquina de lectura",,,2012-11-28 12:55:02,3,3_literario_escritora_autor,7.6897144,2.3583915,6.7238364,-5.011408
24,Limpiar la muerte,,,2012-12-05 12:36:41,11,11_asesino_testimonio_testigo,9.074986,4.364261,7.0605435,-1.7803057
25,EL REGRESO A LA TIERRA PROMETIDA,,,2012-12-05 14:53:00,2,2_fifa_futbolista_fútbol,10.813142,2.5897632,5.8078227,11.379043
26,Algo más que humo,,,2012-12-07 12:43:02,8,8_epidemia_vacunar_virus,7.8326116,7.852978,7.7887006,-0.47523513
27,La desahuciada que narra,,,2012-12-12 09:04:27,19,19_periodista_periodístico_periódico,8.258683,2.8147526,7.225837,-1.4169766
28,¿Qué tan lejos llegan en 15 segundos?,Israel y Palestina,Internacional; Israel; Palestina,2012-12-19 13:20:00,27,27_israel_netanyahu_israelí,11.199128,8.181454,14.630489,6.425282
29,Nos llevará la corriente,Maratón acuática,,2013-02-01 15:54:25,20,20_ríos_río_arroyo,9.989029,3.0023987,4.816372,-1.1309271
30,"Tortas, putos y cumbieros",,,2013-02-07 12:29:03,38,38_bailarín_tango_protagonista,9.378729,5.4119964,14.163601,-3.8705187
31,Sonata para tres,,,2013-02-08 15:16:24,42,42_padre_papá_hijo,7.4824076,2.2722569,14.562623,-4.1392326
32,Una guerra de sangre y fuego en el paraíso mapuche,,,2013-02-13 14:16:47,11,11_asesino_testimonio_testigo,9.941349,4.2286205,7.6995482,-2.2961586
33,El sol de tu bravura,,Internacional; Venezuela,2013-03-06 11:22:46,10,10_boliviano_bolivia_político,11.365662,4.138961,6.9275684,3.64503
34,Subido al caballo,,,2013-03-11 10:20:05,11,11_asesino_testimonio_testigo,10.311117,2.9806023,7.697333,-2.423636
35,Filipinas: un viaje al otro lado del mundo,,,2013-03-12 11:20:35,20,20_ríos_río_arroyo,9.540601,3.0697355,5.499972,-1.0865682
36,La balada del perro y la muerte,Rosario,,2013-03-25 12:05:06,32,32_catástrofe_desastre_tragedia,8.413715,6.1415286,6.1961365,-1.1435162
37,"Mi tío, un desaparecido",Premio Centro Cultural de la Memoria Haroldo Conti,,2013-03-26 16:31:20,11,11_asesino_testimonio_testigo,8.7399845,3.5429704,7.5319786,-2.55422
38,Somos menos,Inundación de La Plata,,2013-04-05 12:55:17,20,20_ríos_río_arroyo,9.116969,4.7630553,5.7917085,-1.1226026
39,Los muertos negados,Inundación de La Plata,,2013-04-12 15:41:41,32,32_catástrofe_desastre_tragedia,9.21291,4.2341585,6.439063,-1.4366217
40,La 12: historia de una traición,Barras bravas,Barras bravas; Boca Juniors; Fútbol,2013-05-02 12:31:26,2,2_fifa_futbolista_fútbol,10.147403,2.2489762,5.683857,11.1678295
41,La belleza del cuerpo femenino,Forzudas,,2013-05-13 15:12:53,1,1_feminismo_feminista_patriarcado,5.624842,3.3763976,9.824277,-3.6398516
42,TRIBILÍN: MI MAMÁ ME MIMA,,,2013-06-06 14:42:23,11,11_asesino_testimonio_testigo,5.909184,5.4641314,7.9766793,-2.5150833
43,Aguantar no es chamuyar,Hinchas y barras,,2013-06-18 13:28:10,2,2_fifa_futbolista_fútbol,10.432073,3.2280781,5.7368274,11.308237
44,Campo de Mayo: cómo quebrar a un rugbier,Rugby y masculinidades,,2013-06-26 12:00:50,2,2_fifa_futbolista_fútbol,9.752566,4.3279686,5.7436433,11.464583
45,Policías en acción,Violencia en Budge,Violencia policial,2013-07-01 14:45:51,6,6_asesinato_policía_policial,9.115099,4.5481706,7.7063065,-1.4316036
46,La TV hardcore,Luis Ventura,,2013-07-08 14:03:25,19,19_periodista_periodístico_periódico,8.328674,3.7815776,7.385224,-1.6404732
47,Morir como perros,,,2013-07-31 14:13:16,32,32_catástrofe_desastre_tragedia,8.256646,6.4040112,6.238987,-1.1655837
48,Dejarlo todo,Premio Nuevas Plumas,,2013-08-15 16:43:03,32,32_catástrofe_desastre_tragedia,9.264298,5.201367,6.485858,-1.2694309
49,Imaginate este lugar todo lleno de armas,,,2013-08-25 16:15:06,7,7_aborto_abortar_anticonceptivo,8.790575,5.174932,7.624391,-1.4573145
50,Los fantasmas del Facebook,,,2013-08-27 12:17:24,31,31_digital_internet_tecnología,7.021987,6.6285367,10.832633,1.9733266
51,¿Quién le teme a Félix Díaz?,,,2013-09-02 14:51:53,20,20_ríos_río_arroyo,10.554512,4.537673,8.128073,3.7935307
52,El principio de la noche interminable,Laura Carlotto,,2013-09-06 16:54:06,14,14_mediático_periodístico_político,8.671608,3.6893256,7.592432,-1.9447131
53,A esta nena la mataron,,,2013-09-09 11:17:41,11,11_asesino_testimonio_testigo,8.547967,4.0999975,6.9267015,-1.5674069
54,OVNIS: TE JURO QUE LOS VI,Misterios del universo,,2013-09-11 10:56:53,19,19_periodista_periodístico_periódico,8.123899,6.8780055,12.056557,0.6236281
55,Mickey Mouse es un jubilado con hambre,Disney World,,2013-09-24 17:46:32,11,11_asesino_testimonio_testigo,7.125051,5.8166428,7.484334,-2.620313
56,Cómo escapar de la picadora de carne,Mondongo,,2013-09-30 13:35:19,24,24_arte_artes_art,8.260726,2.9958434,12.802111,-2.2915657
57,El olvido de los cangrejos,Neurociencias,,2013-10-07 18:47:47,37,37_astrónomo_ciencia_universo,7.1126847,6.683059,9.903146,0.07658867
58,"Justicia, aunque sea lo último que haga",Caso Solano,,2013-10-16 15:04:00,20,20_ríos_río_arroyo,9.182797,3.738217,5.444291,-1.3502473
59,Sentirse boliviano en Buenos Aires,,,2013-10-18 11:42:17,40,40_manifestación_feminista_multitud,10.633038,3.474908,8.92003,4.764147
60,El candidato esponja: de liberal a conservador popular,Sergio Massa,,2013-10-21 18:03:39,0,0_político_política_electoral,12.082062,5.2060356,7.861255,5.3149004
61,El equilibrista: del relato ideológico a la historia mínima,Martín Insaurralde,,2013-10-24 17:13:47,0,0_político_política_electoral,12.252637,5.610094,7.4969854,5.0416684
62,Llevame al casting,Castings de niños,,2013-10-29 16:08:01,29,29_ficción_protagonista_personaje,6.3815637,5.0285273,7.793604,-2.5072556
63,Sangrar por dentro,,,2013-10-31 15:38:42,39,39_morir_muerte_moribundo,8.270244,2.1481926,7.2586875,-2.0014932
64,Bolivia: Los linchados de El Alto,Beca Crónica en Bolivia,BA,2013-11-04 17:38:30,41,41_pobreza_inmobiliario_habitante,8.950062,3.7581046,6.885571,-1.1507852
65,¿Qué tenés ahí?,Día de los Difuntos,,2013-11-06 11:36:41,22,22_música_musical_músico,8.552716,4.904409,7.0321593,-1.1986749
66,Verte entre la multitud,,,2013-11-08 11:02:14,24,24_arte_artes_art,8.011192,3.570256,12.740819,-3.0015874
67,La vieja felicidad del éxtasis,Creamfields,,2013-11-11 17:44:07,38,38_bailarín_tango_protagonista,7.0314307,3.7538328,14.228497,-3.831142
68,Un remedio cada 20 años,Medicamentos,,2013-11-13 15:03:02,39,39_morir_muerte_moribundo,7.747871,7.5238185,9.148181,-1.04937
69,EL REGRESO DE LA MATRIA GRANDE,Bachelet,,2013-11-18 12:41:21,18,18_chileno_chile_político,11.342686,4.770258,3.944035,3.8887117
70,El estilo en la mirada,Perfil de Hebe Uhart,,2013-11-20 18:36:54,3,3_literario_escritora_autor,7.7600136,2.3718505,6.677262,-4.9682503
71,"Vení conmigo, no te voy a traicionar",,,2013-11-26 11:43:12,2,2_fifa_futbolista_fútbol,10.795773,2.5798707,5.4501786,11.614844
72,Serena Williams: la nueva Venus negra,,,2013-12-01 14:16:40,19,19_periodista_periodístico_periódico,7.7033343,3.2160122,9.4007225,-3.4890337
73,Mis días con Giselle Rímolo en la cárcel,Primer Premio de Crónicas La Voluntad,,2013-12-02 17:12:24,1,1_feminismo_feminista_patriarcado,7.672101,2.6208546,9.685862,-4.214036
74,Venancio y Gregorio vuelven del exilio,Ventriloquía,,2013-12-15 16:54:57,11,11_asesino_testimonio_testigo,8.694397,2.649769,7.5808506,-2.351081
75,"Soy cuartetero, ¿y qué?",,,2013-12-18 15:44:15,22,22_música_musical_músico,8.5103245,2.8202577,14.597448,-4.1335716
76,Tomás y las escrituras sagradas,,,2014-01-31 16:03:08,3,3_literario_escritora_autor,7.800139,2.2133946,7.1942496,-5.0982566
77,El soldado de Cristina,Andrés Larroque,,2014-02-03 17:24:00,11,11_asesino_testimonio_testigo,9.906799,3.2940598,7.4458947,-1.0492389
78,El periodismo según Monsanto,,,2014-02-05 17:11:57,37,37_astrónomo_ciencia_universo,7.317804,6.179086,9.967359,0.15760793
79,"El dólar, los cerdos y los peces",Economía,,2014-02-21 18:23:55,4,4_déficit_deuda_endeudamiento,9.566661,7.980307,10.693023,5.552005
80,El héroe ferpecto de Álex de la Iglesia,Lionel Messi,,2014-02-25 15:29:16,2,2_fifa_futbolista_fútbol,10.071566,2.2719204,5.3708367,11.604857
81,Las mil formas de dañarnos,ACV,,2014-03-05 16:00:00,39,39_morir_muerte_moribundo,7.169669,7.2114315,9.217149,-1.2465322
82,El videojuego de Dios,Large Hadron Collider,,2014-03-19 16:19:00,37,37_astrónomo_ciencia_universo,7.378033,6.8182025,9.958473,0.14505813
83,Enfrentar la muerte,Premio Centro Cultural de la Memoria Haroldo Conti,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Juicios de lesa humanidad; Terrorismo de Estado,2014-03-24 16:54:47,23,23_justicia_judicial_juzgado,8.909406,4.1997027,8.189272,-3.34619
84,"Es feo matarse entre chilenos, diputado",Rosauro Martínez,,2014-03-25 16:45:28,32,32_catástrofe_desastre_tragedia,9.934674,3.837726,6.7517896,-1.6593807
85,Ruido de animales salvajes,Amazonía ecuatoriana,,2014-03-31 18:20:23,20,20_ríos_río_arroyo,8.19878,6.071563,4.822115,-1.1287308
86,Mucho más que comer placenta,Cienciología,,2014-04-07 14:18:30,3,3_literario_escritora_autor,8.059042,3.8153536,10.153589,0.66328543
87,EL DOLOR NO EXISTE,Artes Marciales Mixtas,,2014-04-22 14:39:31,24,24_arte_artes_art,8.811022,5.1352606,12.53274,-2.3514485
88,UN AMOR ETERNO DE SEIS DÍAS,Citas Virtuales,,2014-04-22 15:14:40,1,1_feminismo_feminista_patriarcado,8.613373,2.7593942,9.692134,-3.675727
89,EL POPULISTA INCÓMODO,Ernesto Laclau,,2014-04-22 15:15:26,10,10_boliviano_bolivia_político,10.915718,6.118703,7.4115267,5.6165586
90,La narcomáquina ya no necesita Chapos,México,Rossana Reguillo,2014-04-22 16:53:48,14,14_mediático_periodístico_político,10.006097,4.70989,7.1896324,2.4753804
91,La piel que nos encierra,Ciencia en la UNSAM,,2014-04-22 19:36:54,39,39_morir_muerte_moribundo,7.242989,7.1584673,9.319573,-1.5024211
92,"Crimea: allí donde haya rusos, hay Rusia",Internacionales,Internacional; Rusia,2014-04-23 10:01:46,21,21_soviética_soviético_vladimir,11.267235,7.639013,14.142994,4.1620865
93,El último desnudo de Effy,Mundo queer,,2014-04-23 15:46:09,1,1_feminismo_feminista_patriarcado,6.691535,3.3267102,10.846103,-3.1792014
94,Hijos de represores: 30 mil quilombos,La Herencia de la Dictadura,24M: Día de la memoria por la verdad y la justicia; Derechos Humanos; Hijos de represores,2014-04-23 17:33:57,11,11_asesino_testimonio_testigo,9.539637,3.8555856,7.422723,-2.6325102
95,ARDIÓ LA POBREZA,Valparaíso,,2014-04-23 17:45:23,32,32_catástrofe_desastre_tragedia,9.203639,5.1103544,6.2779827,-1.0819259
96,TE PREFERÍAMOS MUERTO DE AMOR,Gabriel García Márquez,,2014-04-25 09:58:47,29,29_ficción_protagonista_personaje,8.324228,2.0663583,8.652821,-2.9783905
97,Orgullo y silencio,J.M. Coetzee,,2014-04-25 13:02:14,3,3_literario_escritora_autor,7.711751,2.68977,6.742407,-4.9214406
98,LA INVENCIÓN DE NUEVA YORK,Paul Auster,,2014-04-26 19:15:32,3,3_literario_escritora_autor,7.9085784,2.8721511,6.6317663,-4.9701242
99,Relatos de muerte y cementerios,Feria del Libro,Feria del Libro,2014-04-28 14:37:59,3,3_literario_escritora_autor,7.8532996,2.6331766,6.7955675,-5.1062922
100,Fiesta Anfibia en el campus de la UNSAM,,,2014-04-29 21:15:27,31,31_digital_internet_tecnología,8.23229,3.0525143,10.819186,1.9262838
101,El espía de la Walsh,Inteligencia,,2014-04-30 14:11:28,6,6_asesinato_policía_policial,9.343849,2.6122003,7.493578,-1.6036034
102,30 mil quilombos: del encuentro anfibio al debate picante,,Encuentro Anfibio; Feria del Libro,2014-05-02 21:04:35,15,15_sindicalismo_reforma_político,9.687095,3.8332772,6.941908,0.796536
103,"Violetta, Chino Maidana, Wilkis y Hacher: todo tiene que ver con todo",,Encuentro Anfibio; Feria del Libro,2014-05-03 18:55:27,28,28_futuro_pandemia_crisis,5.9746876,5.336953,7.7965846,-2.0810719
104,El hombre que nada,Fogwill,,2014-05-04 13:28:56,3,3_literario_escritora_autor,8.006091,2.4828863,6.776961,-5.2304187
105,El chino matrero,Marcos Maidana,,2014-05-05 01:35:14,2,2_fifa_futbolista_fútbol,10.201091,2.70501,7.091249,-1.5040771
106,Almada por el camino de la no ficción,Feria del Libro,Feria del Libro,2014-05-05 14:49:33,3,3_literario_escritora_autor,7.941612,4.2663536,7.1559634,-5.1464033
107,Presentaron el Premio de Crónicas Inéditas Las Nuevas Plumas,,Encuentro Anfibio; Feria del Libro; Juan Pablo Meneses,2014-05-06 13:23:48,19,19_periodista_periodístico_periódico,7.7834363,3.756892,12.622782,0.76577234
108,La Nueva Anfibia en la Feria del Libro,,Feria del Libro,2014-05-06 15:18:39,17,17_innovación_tecnológico_tecno,7.1094427,5.40141,11.4769535,1.6383588
109,Narrar la memoria,,Derechos Humanos,2014-05-06 21:16:37,37,37_astrónomo_ciencia_universo,8.676682,2.9555707,9.973354,0.17692578
110,Un simulacro verdadero,Mario Testino,,2014-05-07 13:28:49,26,26_fotoperiodismo_retratar_retrato,7.867122,3.0236642,12.8444395,-3.229519
111,Cambio de piel a sala llena,Anfibia en la Feria del Libro,Feria del Libro; Nueva Anfibia,2014-05-08 15:04:00,3,3_literario_escritora_autor,8.251233,2.5720785,6.6369734,-5.441784
112,¿Dónde está Mugica hoy?,Curas villeros,,2014-05-09 14:50:06,13,13_papal_catolicismo_arzobispo,7.9013166,2.734591,-1.602247,7.4586377
113,"""En gráfica no se te pide que seas un carnicero""",,,2014-05-09 19:39:39,3,3_literario_escritora_autor,8.413383,2.268208,7.3819847,-5.022291
114,Un cambio de ideas y semillas,,,2014-05-11 19:01:46,37,37_astrónomo_ciencia_universo,8.5936,2.8047807,10.00223,0.12660643
115,Mercado central,Concentración editorial,,2014-05-12 13:28:42,3,3_literario_escritora_autor,7.7214456,2.670608,6.395287,-5.6207743
116,“Una idea consistente vuelve y vuelve hasta que la escribís”,Feria del Libro,Feria del Libro,2014-05-12 16:32:11,3,3_literario_escritora_autor,7.562155,2.7672038,6.6588116,-5.3601637
117,Saraus: poesía y periferia,San Pablo,,2014-05-14 14:50:40,41,41_pobreza_inmobiliario_habitante,9.419542,2.6119034,6.5496626,-4.531661
118,"Desde ese entonces, sigo viva",Femicidio,,2014-05-16 12:42:14,1,1_feminismo_feminista_patriarcado,6.6439924,2.9654512,9.624464,-3.7575614
119,Una insuperable fiesta de música arrogante,Babasónicos,,2014-05-19 13:42:09,22,22_música_musical_músico,8.927966,2.229553,14.999154,-4.0785584
120,Oraciones íntimas,Manuel Rivas,,2014-05-20 14:24:33,3,3_literario_escritora_autor,8.227968,2.228366,6.802319,-5.4571695
121,El lobo argentino de JP Morgan,Economía y ficción,Jorge Volpi; Lectura Mundi,2014-05-21 14:31:39,28,28_futuro_pandemia_crisis,9.1957445,3.0063443,8.666622,1.3543968
122,El libro gordo de Manolo,Feria del Libro,Lectura Mundi,2014-05-21 20:34:16,26,26_fotoperiodismo_retratar_retrato,9.774739,3.3188884,12.854628,-3.4154203
123,La cadena de engaños de J. Volpi,,Jorge Volpi; Lectura Mundi,2014-05-23 17:53:40,3,3_literario_escritora_autor,9.270307,2.651966,6.4575524,-5.5887933
124,"Dudú, la baronesa de Arte BA",El mercado del arte,,2014-05-26 17:11:28,24,24_arte_artes_art,7.542374,4.3650966,12.903445,-2.341062
125,Cris Morena es feminista,Criatura emocional,,2014-05-27 15:20:01,24,24_arte_artes_art,6.2759957,3.5261176,12.459161,-2.2147145
126,Sobre las Nuevas Plumas,,,2014-05-28 15:17:32,19,19_periodista_periodístico_periódico,7.853078,4.2557936,12.542784,0.65650725
127,Putos hubo siempre,Diario del festival de cine LGBTIQ,,2014-05-30 12:33:56,29,29_ficción_protagonista_personaje,5.9876003,3.8904812,10.883211,-2.1013412
128,Tensiones sobre el mapa,La UNSAM en el barrio,,2014-06-02 14:30:08,15,15_sindicalismo_reforma_político,8.996681,5.9439325,6.8752537,0.4002673
129,Cómo es ganar las Nuevas Plumas,,,2014-06-03 14:23:46,23,23_justicia_judicial_juzgado,9.1765175,2.6579382,11.479288,3.8040507
130,"Los elefantes no olvidan, los exiliados tampoco",Abdicó el Rey,,2014-06-03 15:14:17,10,10_boliviano_bolivia_político,9.959077,3.9899836,7.118458,3.5650973
131,Los diarios íntimos son una farsa,Abelardo Castillo,,2014-06-04 14:44:13,3,3_literario_escritora_autor,7.845685,2.386353,6.7255692,-5.066168
132,"Borges, ¿Qué piensa usted de Sartre?",Los diarios de Abelardo Castillo,,2014-06-06 13:32:13,3,3_literario_escritora_autor,8.0121975,1.9734062,6.64917,-4.6708407
133,¡Feliz día del periodista anfibio!,,,2014-06-07 12:21:48,19,19_periodista_periodístico_periódico,8.06641,2.74391,13.094141,0.9780404
134,Zamba para un padre solo,El caso de las turistas francesas,,2014-06-09 14:43:39,11,11_asesino_testimonio_testigo,8.883836,4.1570396,7.6506076,-2.5650246
135,"Marcos, el Subcomandante innecesario",EZLN (México),,2014-06-10 13:51:23,39,39_morir_muerte_moribundo,9.467862,4.0360203,8.455663,-3.2260566
136,Operación Messi: así se hizo argentino,Argentina vs España,,2014-06-12 14:36:31,2,2_fifa_futbolista_fútbol,10.609186,1.9743007,5.1557603,11.533572
137,La venganza del arquero chingón,México vs Camerún,,2014-06-13 14:37:04,2,2_fifa_futbolista_fútbol,10.124063,2.2648766,5.1678348,11.073589
138,La caída del Mosquetón,Rosauro Martínez,,2014-06-13 23:12:36,23,23_justicia_judicial_juzgado,9.901091,4.3482175,11.127196,4.285657
139,¿Con Holanda pondríamos ocho defensores?,Argentina vs Bosnia,,2014-06-16 15:21:39,2,2_fifa_futbolista_fútbol,10.511985,2.8325477,5.085833,11.496529
140,Colarse en El Maracaná: Misión imposible,Argentina vs Bosnia,,2014-06-16 17:59:42,2,2_fifa_futbolista_fútbol,10.651811,2.5567725,5.6458344,11.144477
141,Obscenos hoy,Pensar el cuerpo,,2014-06-17 14:40:53,1,1_feminismo_feminista_patriarcado,6.184495,3.488996,9.733186,-2.8591506
142,"""Vos no hablés que sos mujer""",,,2014-06-17 17:26:23,2,2_fifa_futbolista_fútbol,10.924364,2.284786,5.7183375,11.281499
143,Manu for export,Un bahiense campeón en la NBA,,2014-06-17 18:54:03,2,2_fifa_futbolista_fútbol,9.929587,2.4047606,5.675243,11.449348
144,El mundial es ficción,Brasil 2014,,2014-06-18 13:56:40,2,2_fifa_futbolista_fútbol,9.531995,5.6642795,5.4834123,11.196446
145,Todo sobre los buitres,Deuda externa,FMI; Fondos buitre,2014-06-18 17:20:59,4,4_déficit_deuda_endeudamiento,9.807852,7.5320473,10.442226,5.525937
146,Sueños anfibios,,Día del Padre,2014-06-20 08:10:00,42,42_padre_papá_hijo,9.178145,3.4349031,6.6120486,-3.2296174
147,Los mandamientos de Sabella,Mundial 2014,Alejandro Sabella; Brasil; Internacional; Mundial de fútbol,2014-06-20 13:46:15,2,2_fifa_futbolista_fútbol,10.377922,2.347404,5.1552386,11.452154
148,Al gauchito le dio vergüenza,Mundial 1978,,2014-06-24 16:56:45,2,2_fifa_futbolista_fútbol,10.684142,2.3388724,5.4064245,11.070751
149,Hacer justicia en un segundo,Brasil 2014,,2014-06-25 13:40:18,2,2_fifa_futbolista_fútbol,10.687005,2.68541,5.1374283,11.062543
150,Messi vació las calles,Argentina vs Nigeria,,2014-06-25 19:17:34,2,2_fifa_futbolista_fútbol,10.746294,2.2011414,5.130824,11.179082
151,El secreto del poder estatal,Michel Foucault,,2014-06-26 12:23:49,0,0_político_política_electoral,10.241791,6.307655,8.34939,4.0970044
152,Piquetes en la prehistoria de las redes sociales,Darío Santillán,,2014-06-26 14:39:16,31,31_digital_internet_tecnología,9.391507,4.403856,10.695223,1.8679638
153,El aparato analítico de los Foucaults,Coloquio internacional,,2014-06-26 17:02:35,5,5_pedagógico_enseñanza_escolar,7.4618893,3.2079568,4.101559,-2.6914117
154,Sacate la camiseta,Cuerpos,,2014-06-27 14:31:01,1,1_feminismo_feminista_patriarcado,11.036416,2.2789576,9.308125,-4.2394304
155,El mundial empieza en octavos,,,2014-06-27 19:39:51,29,29_ficción_protagonista_personaje,9.17718,2.6445243,5.529648,11.595758
156,¿Qué le dieron a Diego?,Doping,,2014-06-28 12:54:47,2,2_fifa_futbolista_fútbol,10.000236,3.1327252,5.436303,11.266149
157,Dilma es una mujer de suerte,,Brasil; Dilma Rousseff; Internacional; Mundial de fútbol,2014-06-28 22:13:12,16,16_brasil_brasilero_brasilia,9.927097,4.0843477,6.795296,8.584134
158,"Brasil, te digo qué se siente",,,2014-06-29 23:16:32,16,16_brasil_brasilero_brasilia,10.397779,2.512814,6.8455954,8.527178
159,Un melodrama uruguayo,Luis Suárez,,2014-06-30 14:05:16,2,2_fifa_futbolista_fútbol,10.647671,2.8612185,5.52744,11.262288
160,$ 12.000 por una entrada trucha,Argentina vs Suiza,,2014-06-30 18:52:14,2,2_fifa_futbolista_fútbol,10.420675,2.5267565,5.582258,11.128298
161,"El Pocho me calienta, Di María me enamora",Argentina vs Suiza,,2014-07-01 20:26:31,2,2_fifa_futbolista_fútbol,10.212653,2.1802557,5.148451,11.568811
162,No podemos sufrir siempre,Argentina vs Suiza,,2014-07-01 22:50:38,2,2_fifa_futbolista_fútbol,10.319207,2.6148107,5.2872596,10.853862
163,Mundial para quién,Brasil 2014,Brasil; Fútbol; Internacional; Mundial de fútbol,2014-07-02 15:32:11,2,2_fifa_futbolista_fútbol,10.562469,4.369241,5.3386035,10.677719
164,Pánico a la derrota,Brasil 2014,,2014-07-03 14:18:40,2,2_fifa_futbolista_fútbol,10.795238,2.440899,5.193768,11.338191
165,Brasilero en Fortaleza te despides del Mundial,Brasil 2014,,2014-07-03 16:42:50,2,2_fifa_futbolista_fútbol,10.694791,2.8601816,5.2381077,10.827821
166,De cómo el mago Forlizzi pudo colarse en el Mundial,Brasil 2014,,2014-07-03 17:24:19,2,2_fifa_futbolista_fútbol,10.49149,2.9462643,5.3814745,10.825636
167,¿Qué hace un turco en mi equipo?,Brasil 2014,,2014-07-04 14:33:02,2,2_fifa_futbolista_fútbol,10.544614,7.7522097,5.2258487,11.006224
168,"Cuidado, se vienen los ticos",Costa Rica hizo historia,,2014-07-05 00:35:38,2,2_fifa_futbolista_fútbol,10.7596445,3.1190128,5.1884956,10.858249
169,Cruzamos el Rubicón,Argentina vs Bélgica,Alejandro Sabella; Brasil; Internacional; Mundial de fútbol,2014-07-05 19:05:41,2,2_fifa_futbolista_fútbol,10.082928,2.3935556,5.13907,11.47443
170,Vos no sos un belga,Argentina vs Bélgica II,,2014-07-06 00:25:10,2,2_fifa_futbolista_fútbol,10.407015,2.4959013,5.24454,10.843351
171,"Noche de mandolina, música clásica y luces",,,2014-07-06 09:39:56,22,22_música_musical_músico,8.026164,3.2169752,14.58536,-3.6021783
172,Tengo un problema en el Sur,El Juez Griesa,,2014-07-07 15:33:01,23,23_justicia_judicial_juzgado,10.131999,5.1761312,11.3339615,4.221484
173,Una mujer puerca y un Dios personal,Comunidad Anfibia,,2014-07-07 18:08:42,13,13_papal_catolicismo_arzobispo,7.639035,2.6607213,-1.7271631,7.6242776
174,Brasilia era el futuro,Brasil 2014,,2014-07-08 14:15:44,41,41_pobreza_inmobiliario_habitante,10.63288,3.141519,6.492348,-0.9699818
