Topic,Words,Frequency,Timestamp,Name
5,"hijo, infantil, niño, casting, chico",1,2013-10-10 14:24:00.000,5_pedagógico_enseñanza_escolar_educativo
6,"asesinar, testigo, justicia, preso, crimen",1,2013-10-10 14:24:00.000,6_asesinato_policía_policial_maldonado
9,"liberal, libertario, político, política, ideológico",2,2013-10-10 14:24:00.000,9_político_libertario_política_presidenc...
11,"muerto, morir, muerte, lector, frenético",2,2013-10-10 14:24:00.000,11_asesino_testimonio_testigo_víctima
13,"militante, sacerdote, kirchnerista, religión, religioso",1,2013-10-10 14:24:00.000,13_papal_catolicismo_arzobispo_católica
18,"candidato, político, candidata, voto, votación",1,2013-10-10 14:24:00.000,18_chileno_chile_político_dictadura
26,"fotógrafo, fotografía, fotográfico, retrato, artista",1,2013-10-10 14:24:00.000,26_fotoperiodismo_retratar_retrato_fotóg...
34,"portorriqueño, ventrílocuo, famoso, ilusionista, montalbán",1,2013-10-10 14:24:00.000,34_película_personaje_actor_hombre
37,"periodista, entrevista, mensaje, activista, social",1,2013-10-10 14:24:00.000,37_astrónomo_ciencia_universo_teoría
38,"fiesta, bailarín, éxtasis, festival, ulises",2,2013-10-10 14:24:00.000,38_bailarín_tango_protagonista_ballet
39,"muerte, morir, muerto, difunto, vivo",2,2013-10-10 14:24:00.000,39_morir_muerte_moribundo_cadáver
40,"boliviano, bolivia, charrúa, festividad, gavazzo",1,2013-10-10 14:24:00.000,40_manifestación_feminista_multitud_mili...
0,"populista, neoconservador, ideología, conservador, marxista",1,2014-02-16 06:00:00.000,0_político_política_electoral_candidato
1,"queer, feminista, feminismo, lésbico, género",3,2014-02-16 06:00:00.000,1_feminismo_feminista_patriarcado_mascul...
2,"futbolista, entrenador, brasil, futbolero, carabajal",11,2014-02-16 06:00:00.000,2_fifa_futbolista_fútbol_deporte
3,"autor, escritor, escritora, literario, lector",16,2014-02-16 06:00:00.000,3_literario_escritora_autor_literatura
4,"dolarizar, moneda, económico, economía, dólar",2,2014-02-16 06:00:00.000,4_déficit_deuda_endeudamiento_inflación
5,"idiosincrático, clasemediero, libro, interpelado, frase",1,2014-02-16 06:00:00.000,5_pedagógico_enseñanza_escolar_educativo
6,"guerrillero, dictadura, matar, monarca, soldado",8,2014-02-16 06:00:00.000,6_asesinato_policía_policial_maldonado
11,"asesino, asesinado, víctima, muerte, muerto",4,2014-02-16 06:00:00.000,11_asesino_testimonio_testigo_víctima
19,"periodista, corresponsal, periodístico, escritor, narrativa",2,2014-02-16 06:00:00.000,19_periodista_periodístico_periódico_nar...
21,"soviético, vladimir, rusia, kremlin, ruso",1,2014-02-16 06:00:00.000,21_soviética_soviético_vladimir_rusia
22,"música, músico, balada, cantar, musical",2,2014-02-16 06:00:00.000,22_música_musical_músico_rapero
23,"judo, marciales, pelear, marcial, fight",1,2014-02-16 06:00:00.000,23_justicia_judicial_juzgado_condenar
24,"artista, artístico, coleccionista, arte, estética",2,2014-02-16 06:00:00.000,24_arte_artes_art_estética
26,"retrato, retratar, fotógrafo, celebriti, fotografía",1,2014-02-16 06:00:00.000,26_fotoperiodismo_retratar_retrato_fotóg...
30,"selva, iconoclasistas, cultura, cultural, vecino",3,2014-02-16 06:00:00.000,30_sociedad_comunitario_proyecto_comunid...
31,"publicar, nueva, narrativa, viralizar, contenido",1,2014-02-16 06:00:00.000,31_digital_internet_tecnología_móvil
32,"catástrofe, ficción, desastre, muerto, libro",3,2014-02-16 06:00:00.000,32_catástrofe_desastre_tragedia_terremot...
34,"personaje, engaño, espionaje, américo, averiguá",4,2014-02-16 06:00:00.000,34_película_personaje_actor_hombre
37,"partícula, universo, cosmo, materia, cuántico",1,2014-02-16 06:00:00.000,37_astrónomo_ciencia_universo_teoría
38,"festejo, festejar, fiesta, celebración, rito",1,2014-02-16 06:00:00.000,38_bailarín_tango_protagonista_ballet
39,"tratamiento, quemadura, piel, quemado, cicatriz",2,2014-02-16 06:00:00.000,39_morir_muerte_moribundo_cadáver
0,"kirchnerismo, macrismo, politización, conservador, político",4,2014-06-24 21:36:00.000,0_político_política_electoral_candidato
1,"feminista, feminismo, generación, década, género",2,2014-06-24 21:36:00.000,1_feminismo_feminista_patriarcado_mascul...
2,"futbolista, elizondo, brasilero, goleador, hombre",26,2014-06-24 21:36:00.000,2_fifa_futbolista_fútbol_deporte
3,"literario, escritora, autor, literatura, escritor",15,2014-06-24 21:36:00.000,3_literario_escritora_autor_literatura
5,"hostigamiento, bullying, ridiculización, pedagógico, violencia",1,2014-06-24 21:36:00.000,5_pedagógico_enseñanza_escolar_educativo
6,"tragedia, asesinato, dictadura, matar, muerto",14,2014-06-24 21:36:00.000,6_asesinato_policía_policial_maldonado
7,"maternidad, sociedad, género, mujer, maternal",1,2014-06-24 21:36:00.000,7_aborto_abortar_anticonceptivo_embarazo
8,"ébola, epidemia, virus, infectado, contagio",6,2014-06-24 21:36:00.000,8_epidemia_vacunar_virus_vacuna
10,"bolivia, boliviano, uruguayo, uruguaya, uruguay",2,2014-06-24 21:36:00.000,10_boliviano_bolivia_político_política
11,"víctima, testimonio, acusado, justicia, detenido",3,2014-06-24 21:36:00.000,11_asesino_testimonio_testigo_víctima
12,"propuesta, regalo, país, barato, siguiente",1,2014-06-24 21:36:00.000,12_economía_económico_futuro_ambiental
13,"foucault, estudioso, sorbonne, autor, coloquio",1,2014-06-24 21:36:00.000,13_papal_catolicismo_arzobispo_católica
14,"impersonal, obviar, exigente, desesperado, indignación",1,2014-06-24 21:36:00.000,14_mediático_periodístico_político_perio...
15,"doméstico, hogar, casa, empleador, laboral",1,2014-06-24 21:36:00.000,15_sindicalismo_reforma_político_polític...
16,"brasil, brasilero, brasileño, brasilia, político",4,2014-06-24 21:36:00.000,16_brasil_brasilero_brasilia_brasileño
19,"periodista, crónicas, narrativo, periodístico, social",1,2014-06-24 21:36:00.000,19_periodista_periodístico_periódico_nar...
20,"caribeño, localidad, país, laguna, hombre",2,2014-06-24 21:36:00.000,20_ríos_río_arroyo_agua
22,"rockero, guitarra, música, musical, punk",1,2014-06-24 21:36:00.000,22_música_musical_músico_rapero
23,"litigar, abogado, justicia, judicial, condenar",2,2014-06-24 21:36:00.000,23_justicia_judicial_juzgado_condenar
24,"museo, galería, exhibición, arte, temática",1,2014-06-24 21:36:00.000,24_arte_artes_art_estética
25,"debate, racista, racismo, violencia, apartheid",5,2014-06-24 21:36:00.000,25_violencia_feminismo_feminista_violent...
26,"retratado, retrato, fotógrafo, retratar, fotografía",4,2014-06-24 21:36:00.000,26_fotoperiodismo_retratar_retrato_fotóg...
27,"israel, israelí, palestino, palestina, judíos",2,2014-06-24 21:36:00.000,27_israel_netanyahu_israelí_palestina
28,"ébola, epidemia, liberia, contagiar, conspiración",1,2014-06-24 21:36:00.000,28_futuro_pandemia_crisis_pensamiento
29,"relato, artículo, periodismo, impronta, pereyra",1,2014-06-24 21:36:00.000,29_ficción_protagonista_personaje_melodr...
30,"antropología, boliviano, controversia, académico, discusión",5,2014-06-24 21:36:00.000,30_sociedad_comunitario_proyecto_comunid...
31,"facebook, investigador, zuckerberg, internet, científico",1,2014-06-24 21:36:00.000,31_digital_internet_tecnología_móvil
34,"personaje, giorgio, zaffaroni, pedro, hombre",7,2014-06-24 21:36:00.000,34_película_personaje_actor_hombre
36,"turco, europeo, europa, belga, inmigrante",1,2014-06-24 21:36:00.000,36_holocausto_terrorista_siria_europa
39,"morir, ahogar, muerte, humano, moribundo",3,2014-06-24 21:36:00.000,39_morir_muerte_moribundo_cadáver
40,"festejo, político, pueblo, peronismo, política",4,2014-06-24 21:36:00.000,40_manifestación_feminista_multitud_mili...
41,"pobreza, hambre, desnutrido, pobre, población",1,2014-06-24 21:36:00.000,41_pobreza_inmobiliario_habitante_pobre
42,"vegetariano, divino, zapato, veggie, papá",1,2014-06-24 21:36:00.000,42_padre_papá_hijo_abuelo
0,"político, política, oposición, democracia, democrático",8,2014-10-31 13:12:00.000,0_político_política_electoral_candidato
1,"patriarcado, patriarcal, feminista, feminismo, educadora",1,2014-10-31 13:12:00.000,1_feminismo_feminista_patriarcado_mascul...
2,"peruano, brasil, bolivia, boliviano, traficante",2,2014-10-31 13:12:00.000,2_fifa_futbolista_fútbol_deporte
3,"literario, autor, narrativa, poeta, escrito",14,2014-10-31 13:12:00.000,3_literario_escritora_autor_literatura
4,"moneda, dinero, ganancia, dólar, económico",2,2014-10-31 13:12:00.000,4_déficit_deuda_endeudamiento_inflación
5,"pedagógico, enseñar, enseñanza, alumno, educativo",2,2014-10-31 13:12:00.000,5_pedagógico_enseñanza_escolar_educativo
6,"politizar, politizado, asesinato, comisaría, político",6,2014-10-31 13:12:00.000,6_asesinato_policía_policial_maldonado
7,"legislador, antiaborto, parlamentario, congreso, aborto",1,2014-10-31 13:12:00.000,7_aborto_abortar_anticonceptivo_embarazo
10,"colombiano, cubano, colombia, cuba, guerrilla",1,2014-10-31 13:12:00.000,10_boliviano_bolivia_político_política
11,"asesino, homicidio, muerte, homicida, mortuorio",2,2014-10-31 13:12:00.000,11_asesino_testimonio_testigo_víctima
13,"pontificio, catolicismo, pontífice, papal, católica",3,2014-10-31 13:12:00.000,13_papal_catolicismo_arzobispo_católica
14,"mediático, periodista, político, política, mediador",1,2014-10-31 13:12:00.000,14_mediático_periodístico_político_perio...
15,"autoridad, presidenta, federal, agente, inteligencia",1,2014-10-31 13:12:00.000,15_sindicalismo_reforma_político_polític...
17,"inteligencia, teoría, espionaje, conspiración, innovador",2,2014-10-31 13:12:00.000,17_innovación_tecnológico_tecno_tecnolog...
20,"chile, santiago, rio, sequía, desierto",2,2014-10-31 13:12:00.000,20_ríos_río_arroyo_agua
22,"compositor, músico, orquesta, acústico, musical",1,2014-10-31 13:12:00.000,22_música_musical_músico_rapero
23,"espionaje, inteligencia, burocrático, almirante, agente",1,2014-10-31 13:12:00.000,23_justicia_judicial_juzgado_condenar
24,"arte, artista, artístico, estética, holístico",1,2014-10-31 13:12:00.000,24_arte_artes_art_estética
25,"padre, mito, protagonista, papá, hijo",1,2014-10-31 13:12:00.000,25_violencia_feminismo_feminista_violent...
26,"fotógrafo, fotográfico, fotografía, fotografiar, cámara",2,2014-10-31 13:12:00.000,26_fotoperiodismo_retratar_retrato_fotóg...
27,"palestino, palestina, israelí, israel, jerusalem",1,2014-10-31 13:12:00.000,27_israel_netanyahu_israelí_palestina
28,"fanatismo, interpretativo, antikirchnerismo, ideología, presunción",1,2014-10-31 13:12:00.000,28_futuro_pandemia_crisis_pensamiento
29,"dramaturga, dramaturgia, escena, narrativo, espectador",2,2014-10-31 13:12:00.000,29_ficción_protagonista_personaje_melodr...
30,"antropólogo, antropología, antártida, guatemalteco, guatemala",4,2014-10-31 13:12:00.000,30_sociedad_comunitario_proyecto_comunid...
31,"cibernética, web, internet, posmodernidad, censura",1,2014-10-31 13:12:00.000,31_digital_internet_tecnología_móvil
32,"tragedia, inundación, tormenta, pueblo, noticia",1,2014-10-31 13:12:00.000,32_catástrofe_desastre_tragedia_terremot...
33,"playa, marisco, ciudad, calamar, san",1,2014-10-31 13:12:00.000,33_submarino_marino_naufragio_océano
34,"sebastián, mirador, carlos, recuerdo, lemebel",6,2014-10-31 13:12:00.000,34_película_personaje_actor_hombre
36,"musulmán, islámico, terrorista, islam, holocausto",3,2014-10-31 13:12:00.000,36_holocausto_terrorista_siria_europa
39,"morir, médico, enfermedad, muerte, diosa",3,2014-10-31 13:12:00.000,39_morir_muerte_moribundo_cadáver
40,"derby, patinar, jugadora, deporte, bully",1,2014-10-31 13:12:00.000,40_manifestación_feminista_multitud_mili...
42,"miedo, mariposa, dormir, dormido, nocturno",1,2014-10-31 13:12:00.000,42_padre_papá_hijo_abuelo
0,"político, política, candidato, electoral, populismo",9,2015-03-09 04:48:00.000,0_político_política_electoral_candidato
1,"feminismo, machismo, feminista, erótico, patriarcal",9,2015-03-09 04:48:00.000,1_feminismo_feminista_patriarcado_mascul...
2,"chileno, chile, brasil, uruguayo, futbolista",6,2015-03-09 04:48:00.000,2_fifa_futbolista_fútbol_deporte
3,"autor, literario, literaturas, libro, literatura",10,2015-03-09 04:48:00.000,3_literario_escritora_autor_literatura
4,"socialdemocracia, grecia, deuda, político, política",1,2015-03-09 04:48:00.000,4_déficit_deuda_endeudamiento_inflación
5,"niño, llorá, padre, llorar, atormentar",1,2015-03-09 04:48:00.000,5_pedagógico_enseñanza_escolar_educativo
6,"alfredo, matar, muerto, hombre, manuel",9,2015-03-09 04:48:00.000,6_asesinato_policía_policial_maldonado
10,"paraguayo, boliviano, bolivia, paraguay, venezuela",2,2015-03-09 04:48:00.000,10_boliviano_bolivia_político_política
11,"asesinato, acuchillar, denunciar, matar, víctima",5,2015-03-09 04:48:00.000,11_asesino_testimonio_testigo_víctima
13,"papal, catolicismo, misionero, vaticano, católica",9,2015-03-09 04:48:00.000,13_papal_catolicismo_arzobispo_católica
14,"youtubers, youtuber, youtube, productor, creador",1,2015-03-09 04:48:00.000,14_mediático_periodístico_político_perio...
16,"brasileño, brasilia, brasil, rítmico, movimiento",1,2015-03-09 04:48:00.000,16_brasil_brasilero_brasilia_brasileño
19,"periodista, periodístico, narrativo, político, literario",3,2015-03-09 04:48:00.000,19_periodista_periodístico_periódico_nar...
20,"managua, mercancía, manzana, comerciante, verdura",1,2015-03-09 04:48:00.000,20_ríos_río_arroyo_agua
21,"vladimir, rusia, ruso, soviético, rusa",1,2015-03-09 04:48:00.000,21_soviética_soviético_vladimir_rusia
22,"mario, carlos, español, catalán, homosexual",2,2015-03-09 04:48:00.000,22_música_musical_músico_rapero
23,"magistratura, judicial, tribunal, juzgado, cortesano",3,2015-03-09 04:48:00.000,23_justicia_judicial_juzgado_condenar
24,"arte, art, artístico, galería, estética",3,2015-03-09 04:48:00.000,24_arte_artes_art_estética
25,"tortura, violencia, delito, impunidad, justicia",6,2015-03-09 04:48:00.000,25_violencia_feminismo_feminista_violent...
26,"filósofo, platón, platónico, luz, filosofía",1,2015-03-09 04:48:00.000,26_fotoperiodismo_retratar_retrato_fotóg...
29,"lector, personaje, escena, libro, leer",2,2015-03-09 04:48:00.000,29_ficción_protagonista_personaje_melodr...
30,"político, política, discurso, periodista, funcionario",1,2015-03-09 04:48:00.000,30_sociedad_comunitario_proyecto_comunid...
32,"katmandú, montaña, pueblo, volcán, mississippi",4,2015-03-09 04:48:00.000,32_catástrofe_desastre_tragedia_terremot...
33,"archipiélago, islas, isla, patria, atlántico",1,2015-03-09 04:48:00.000,33_submarino_marino_naufragio_océano
34,"filósofo, filosófico, paul, académico, revolución",1,2015-03-09 04:48:00.000,34_película_personaje_actor_hombre
35,"cubano, chileno, chilena, chile, cuba",2,2015-03-09 04:48:00.000,35_cubano_cubana_cuba_chile
37,"confiar, padre, espiritismo, hijo, dedicar",1,2015-03-09 04:48:00.000,37_astrónomo_ciencia_universo_teoría
38,"escena, performer, pestañear, hombre, candado",4,2015-03-09 04:48:00.000,38_bailarín_tango_protagonista_ballet
39,"eutanasia, muerte, morir, vivo, fallecer",1,2015-03-09 04:48:00.000,39_morir_muerte_moribundo_cadáver
40,"ganador, ganadores, premiación, héroes, concurso",1,2015-03-09 04:48:00.000,40_manifestación_feminista_multitud_mili...
41,"creacionismo, política, comunitario, país, pobreza",5,2015-03-09 04:48:00.000,41_pobreza_inmobiliario_habitante_pobre
42,"papá, padre, abuelo, hijo, hermano",19,2015-03-09 04:48:00.000,42_padre_papá_hijo_abuelo
0,"político, política, electoral, candidato, voto",25,2015-07-15 20:24:00.000,0_político_política_electoral_candidato
1,"feminismo, feminista, lgbti, lgbt, lesbiana",6,2015-07-15 20:24:00.000,1_feminismo_feminista_patriarcado_mascul...
2,"magnetto, clarín, roberto, biografiado, manuel",1,2015-07-15 20:24:00.000,2_fifa_futbolista_fútbol_deporte
3,"literario, escritor, autor, poeta, narrador",17,2015-07-15 20:24:00.000,3_literario_escritora_autor_literatura
4,"político, política, económico, economía, inflación",4,2015-07-15 20:24:00.000,4_déficit_deuda_endeudamiento_inflación
5,"alumno, inventar, sociedad, sujeto, docente",2,2015-07-15 20:24:00.000,5_pedagógico_enseñanza_escolar_educativo
6,"dictadura, asesinar, detenido, preso, ministro",9,2015-07-15 20:24:00.000,6_asesinato_policía_policial_maldonado
7,"abortar, maternidad, aborto, embarazo, histerectomía",1,2015-07-15 20:24:00.000,7_aborto_abortar_anticonceptivo_embarazo
8,"epidemia, contagio, infectado, catástrofe, fiebre",2,2015-07-15 20:24:00.000,8_epidemia_vacunar_virus_vacuna
9,"campaña, político, twitter, política, twittera",1,2015-07-15 20:24:00.000,9_político_libertario_política_presidenc...
10,"boliviano, bolivia, venezuela, colombia, político",2,2015-07-15 20:24:00.000,10_boliviano_bolivia_político_política
12,"hídrico, inundación, incendio, ecosistema, fuego",2,2015-07-15 20:24:00.000,12_economía_económico_futuro_ambiental
13,"década, doctora, sacerdote, carolina, casar",1,2015-07-15 20:24:00.000,13_papal_catolicismo_arzobispo_católica
14,"mediático, periodístico, periodista, noticia, prensa",3,2015-07-15 20:24:00.000,14_mediático_periodístico_político_perio...
15,"sindicalista, jefe, líder, dirigente, obrero",3,2015-07-15 20:24:00.000,15_sindicalismo_reforma_político_polític...
18,"bandera, chileno, político, presidencial, política",2,2015-07-15 20:24:00.000,18_chileno_chile_político_dictadura
19,"periodista, periodístico, reportero, reportera, corresponsal",3,2015-07-15 20:24:00.000,19_periodista_periodístico_periódico_nar...
20,"ambientalista, habitante, casa, pueblo, vecino",2,2015-07-15 20:24:00.000,20_ríos_río_arroyo_agua
21,"soviética, rusia, soviético, stalin, ruso",2,2015-07-15 20:24:00.000,21_soviética_soviético_vladimir_rusia
24,"creativo, compositor, artista, estética, creador",2,2015-07-15 20:24:00.000,24_arte_artes_art_estética
25,"delito, violencia, crimen, violento, víctima",4,2015-07-15 20:24:00.000,25_violencia_feminismo_feminista_violent...
26,"fotoperiodismo, fotógrafo, fotógrafa, fotografía, filmar",1,2015-07-15 20:24:00.000,26_fotoperiodismo_retratar_retrato_fotóg...
29,"embarazado, embarazo, fertilidad, bebé, madre",1,2015-07-15 20:24:00.000,29_ficción_protagonista_personaje_melodr...
30,"debate, etnólogo, político, política, cultura",3,2015-07-15 20:24:00.000,30_sociedad_comunitario_proyecto_comunid...
33,"bolivia, boliviano, peruano, perú, chileno",1,2015-07-15 20:24:00.000,33_submarino_marino_naufragio_océano
34,"escritor, cineasta, artista, documental, personaje",5,2015-07-15 20:24:00.000,34_película_personaje_actor_hombre
36,"terrorista, holocausto, refugiado, mediterráneo, siria",5,2015-07-15 20:24:00.000,36_holocausto_terrorista_siria_europa
37,"científico, ciencia, microbio, bacteria, siglo",2,2015-07-15 20:24:00.000,37_astrónomo_ciencia_universo_teoría
38,"tango, bailarín, bailarina, enseñar, instrucción",1,2015-07-15 20:24:00.000,38_bailarín_tango_protagonista_ballet
39,"ginecóloga, médico, paciente, alemandi, especialista",1,2015-07-15 20:24:00.000,39_morir_muerte_moribundo_cadáver
40,"orgullo, lgbtiq, orgulloso, lesbiana, marcha",1,2015-07-15 20:24:00.000,40_manifestación_feminista_multitud_mili...
41,"migración, migratorio, migrant, inmobiliaria, inmobiliario",2,2015-07-15 20:24:00.000,41_pobreza_inmobiliario_habitante_pobre
0,"político, política, republicanismo, candidato, democracia",21,2015-11-21 12:00:00.000,0_político_política_electoral_candidato
1,"feminista, feminismo, género, mujeres, machista",4,2015-11-21 12:00:00.000,1_feminismo_feminista_patriarcado_mascul...
2,"futbolista, entrenador, hombre, jugador, morales",3,2015-11-21 12:00:00.000,2_fifa_futbolista_fútbol_deporte
3,"literario, autor, escritor, prosa, literatura",10,2015-11-21 12:00:00.000,3_literario_escritora_autor_literatura
4,"político, gobierno, política, ministro, economista",6,2015-11-21 12:00:00.000,4_déficit_deuda_endeudamiento_inflación
6,"matar, prófugo, hombre, tortura, ignacio",11,2015-11-21 12:00:00.000,6_asesinato_policía_policial_maldonado
7,"hijo, infancia, niño, infanto, pediatra",1,2015-11-21 12:00:00.000,7_aborto_abortar_anticonceptivo_embarazo
8,"dengue, epidemiológico, epidemia, enfermedad, mosquito",1,2015-11-21 12:00:00.000,8_epidemia_vacunar_virus_vacuna
10,"venezuela, venezolano, venezolana, bolívares, bolivarián",2,2015-11-21 12:00:00.000,10_boliviano_bolivia_político_política
11,"mariani, abuela, rato, alma, abuelas",3,2015-11-21 12:00:00.000,11_asesino_testimonio_testigo_víctima
13,"pontífice, vaticano, arzobispo, francisco, sacerdote",3,2015-11-21 12:00:00.000,13_papal_catolicismo_arzobispo_católica
15,"funcionario, burocracia, sindicalista, ministro, empleado",5,2015-11-21 12:00:00.000,15_sindicalismo_reforma_político_polític...
16,"político, brasil, brasileño, política, bolsonaro",2,2015-11-21 12:00:00.000,16_brasil_brasilero_brasilia_brasileño
17,"capitalismo, político, kirchnerismo, política, hegemónico",1,2015-11-21 12:00:00.000,17_innovación_tecnológico_tecno_tecnolog...
19,"periodista, periodístico, narrativo, periódico, literario",7,2015-11-21 12:00:00.000,19_periodista_periodístico_periódico_nar...
20,"pampas, slow, voraz, localidad, movimiento",1,2015-11-21 12:00:00.000,20_ríos_río_arroyo_agua
23,"justicia, defensor, abogado, judicial, acusado",3,2015-11-21 12:00:00.000,23_justicia_judicial_juzgado_condenar
24,"artista, creativo, creador, artístico, arte",2,2015-11-21 12:00:00.000,24_arte_artes_art_estética
25,"femicidio, femicidios, víctima, permiso, marido",1,2015-11-21 12:00:00.000,25_violencia_feminismo_feminista_violent...
26,"fotógrafa, fotógrafo, fotografía, retrato, fotográfico",4,2015-11-21 12:00:00.000,26_fotoperiodismo_retratar_retrato_fotóg...
27,"sionista, espía, israel, israelí, atentado",1,2015-11-21 12:00:00.000,27_israel_netanyahu_israelí_palestina
29,"telenovela, personaje, feminidad, protagonizado, protagonista",1,2015-11-21 12:00:00.000,29_ficción_protagonista_personaje_melodr...
30,"uruguaya, uruguayo, uruguay, montevideo, castellano",3,2015-11-21 12:00:00.000,30_sociedad_comunitario_proyecto_comunid...
34,"turista, pirata, documental, hombre, turismo",3,2015-11-21 12:00:00.000,34_película_personaje_actor_hombre
35,"américa, estadounidense, populismo, venezuela, cubano",1,2015-11-21 12:00:00.000,35_cubano_cubana_cuba_chile
36,"terrorista, terrorismo, terror, islamofobia, atentado",4,2015-11-21 12:00:00.000,36_holocausto_terrorista_siria_europa
